FZ,RL
1039.61,190.0
1048.84,190.0
1065.69,189.89999999999998
1082.78,189.89999999999998
1095.04,189.8
1100.87,189.8
1096.25,189.8
1080.13,189.8
1064.2,189.8
1047.35,189.8
1039.16,189.7
1042.01,189.7
1051.66,189.7
1063.19,189.60000000000002
1081.53,189.60000000000002
1094.34,189.5
1103.0,189.5
1101.09,189.5
1087.59,189.5
1070.52,189.4
1052.83,189.4
1045.39,189.5
1042.15,189.4
1049.99,189.4
1063.38,189.4
1077.39,189.3
1091.43,189.3
1100.91,189.3
1101.41,189.20000000000002
1091.62,189.20000000000002
1076.0,189.20000000000002
1057.89,189.20000000000002
1048.05,189.20000000000002
1045.02,189.20000000000002
1051.12,189.1
1062.06,189.1
1074.48,189.1
1091.23,189.1
1104.1,189.0
1108.01,188.9
1100.89,189.0
1086.95,188.9
1071.28,188.9
1057.04,188.9
1049.98,189.0
1052.54,188.9
1063.86,188.79999999999998
1075.14,188.79999999999998
1088.74,188.9
1101.97,188.79999999999998
1110.11,188.79999999999998
1107.82,188.70000000000002
1097.13,188.70000000000002
1083.46,188.70000000000002
1066.6,188.70000000000002
1058.06,188.70000000000002
1057.7,188.70000000000002
1063.76,188.70000000000002
1075.49,188.70000000000002
1092.03,188.6
1104.08,188.6
1112.36,188.5
1113.48,188.5
1105.24,188.5
1089.54,188.5
1073.5,188.4
1067.8,188.5
1062.79,188.4
1068.32,188.5
1078.59,188.5
1092.03,188.4
1104.52,188.4
1114.42,188.4
1115.76,188.29999999999998
1111.12,188.29999999999998
1100.83,188.29999999999998
1088.1,188.29999999999998
1073.3,188.29999999999998
1068.11,188.29999999999998
1070.61,188.29999999999998
1078.34,188.2
1091.4,188.29999999999998
1105.49,188.2
1114.44,188.2
1120.89,188.2
1118.94,188.2
1109.16,188.2
1098.66,188.1
1082.44,188.2
1076.34,188.2
1074.69,188.1
1081.22,188.2
1093.69,188.1
1104.56,188.1
1117.85,188.1
1124.98,188.0
1124.71,188.1
1118.48,188.1
1108.81,188.0
1095.67,188.1
1087.59,188.0
1085.14,188.1
1087.2,188.0
1097.46,188.0
1108.5,188.0
1120.6,188.0
1128.77,188.0
1129.13,188.0
1126.77,188.0
1117.85,187.89999999999998
1104.9,188.0
1093.68,188.0
1087.54,188.0
1087.78,188.0
1096.98,187.89999999999998
1110.86,187.89999999999998
1120.43,187.89999999999998
1130.47,188.0
1138.47,188.0
1134.23,187.89999999999998
1122.63,187.8
1112.07,187.89999999999998
1099.44,187.89999999999998
1093.05,187.89999999999998
1092.73,187.89999999999998
1099.86,187.89999999999998
1110.74,187.89999999999998
1121.2,187.89999999999998
1133.0,187.89999999999998
1141.18,187.89999999999998
1141.54,187.8
1139.58,187.8
1126.78,187.8
1112.32,187.8
1103.09,187.7
1097.29,187.8
1100.14,187.8
1108.43,187.8
1120.93,187.7
1134.15,187.8
1149.3,187.8
1143.55,187.7
1135.54,187.8
1121.44,187.8
1110.16,187.8
1104.95,187.8
1105.74,187.7
1109.68,187.8
1119.64,187.8
1133.19,187.8
1145.65,187.8
1153.98,187.8
1149.45,187.8
1138.83,187.8
1126.52,187.8
1110.53,187.8
1102.18,187.8
1100.39,187.8
1108.6,187.8
1114.07,187.89999999999998
1127.88,187.8
1137.16,187.8
1143.95,187.8
1147.72,187.8
1139.77,187.8
1128.45,187.8
1115.28,187.8
1104.58,187.8
1099.11,187.89999999999998
1102.51,187.8
1109.4,187.8
1120.17,187.8
1132.18,187.89999999999998
1142.53,187.89999999999998
1147.35,187.8
1145.64,187.8
1136.8,187.8
1123.33,187.89999999999998
1110.25,187.8
1101.62,187.8
1102.29,187.89999999999998
1109.71,187.8
1118.23,187.8
1132.89,187.89999999999998
1145.99,187.89999999999998
1153.08,187.8
1148.88,187.8
1138.81,187.89999999999998
1123.84,187.89999999999998
1111.99,187.8
1101.33,187.8
1097.07,187.8
1103.01,187.89999999999998
1114.83,187.89999999999998
1127.38,187.8
1136.82,187.89999999999998
1143.67,187.89999999999998
1146.37,187.8
1138.2,187.89999999999998
1125.36,187.8
1112.76,187.8
1099.91,187.89999999999998
1098.89,187.89999999999998
1105.45,187.89999999999998
1114.22,187.89999999999998
1124.98,187.89999999999998
1136.57,187.89999999999998
1146.18,187.8
1146.41,187.8
1142.07,187.89999999999998
1133.32,187.89999999999998
1116.42,187.89999999999998
1106.52,187.89999999999998
1102.64,187.8
1102.18,187.89999999999998
1111.25,187.89999999999998
1122.25,187.89999999999998
1132.42,187.89999999999998
1144.39,187.89999999999998
1147.39,187.89999999999998
1147.68,187.8
1136.63,187.89999999999998
1123.76,187.89999999999998
1110.84,187.89999999999998
1102.62,187.89999999999998
1103.72,187.89999999999998
1108.5,187.89999999999998
1122.37,187.89999999999998
1130.97,187.89999999999998
1142.37,187.89999999999998
1150.8,187.89999999999998
1147.6,187.89999999999998
1139.6,187.8
1128.49,187.8
1114.97,187.89999999999998
1106.64,187.8
1103.85,187.89999999999998
1110.25,187.89999999999998
1116.52,187.89999999999998
1131.32,187.89999999999998
1141.75,187.89999999999998
1147.51,187.89999999999998
1150.01,187.89999999999998
1144.23,187.89999999999998
1132.38,187.8
1118.64,188.0
1107.96,187.89999999999998
1105.48,187.89999999999998
1109.86,187.89999999999998
1117.37,187.89999999999998
1129.4,187.89999999999998
1139.96,187.89999999999998
1149.45,188.0
1154.14,187.89999999999998
1150.84,187.89999999999998
1140.8,187.89999999999998
1128.78,187.89999999999998
1119.27,187.89999999999998
1110.72,187.89999999999998
1115.0,188.0
1119.37,188.0
1131.93,188.0
1143.09,188.0
1153.74,188.0
1157.76,187.89999999999998
1159.05,188.0
1151.28,188.0
1139.92,188.0
1127.9,188.0
1120.29,187.89999999999998
1119.28,188.0
1124.42,188.1
1134.53,188.0
1147.94,188.0
1158.18,188.1
1165.08,188.1
1161.72,188.1
1154.87,188.1
1142.86,188.1
1134.94,188.1
1124.96,188.1
1124.7,188.1
1125.9,188.1
1131.57,188.2
1145.32,188.2
1155.98,188.2
1164.8,188.2
1169.29,188.2
1165.83,188.2
1156.14,188.2
1142.16,188.29999999999998
1132.3,188.29999999999998
1124.92,188.4
1130.35,188.29999999999998
1135.15,188.4
1144.05,188.29999999999998
